ZCTA5CE10,ALAND10,AWATER10,area
50558,114698519,23067,114655410
52307,488234,0,487943
52074,79898449,786454,80707106
52030,690483,0,690601
50055,126048093,292428,126241299
50234,80969880,266213,81171593
52755,156465323,1464935,157870652
52245,21437710,275149,21703736
52241,30767995,103310,30857011
52235,5244081,12931,5254746
52317,89861599,6035992,95851468
52247,206303697,46425,206243155
50511,321026179,697544,321544809
50556,101104875,11125,101058437
52405,37805569,687611,38472621
52653,291933980,20541230,312409401
50238,301463331,7441398,308659326
51247,289347761,302816,289943967
50033,288201,0,288002
50143,92510368,447718,92884408
50256,70005080,806957,70755517
50005,69351844,271729,69567928
50142,2566675,0,2564644
50078,660699,0,660172
51561,155128903,4255377,159475711
50454,44766360,0,44731057
51040,394259940,5550285,400130741
52531,562739585,368319,562661711
52769,106716539,9774,106725526
52773,145770767,67038,145846553
51249,324698821,44389,324874549
51632,540292203,377776,540636471
51062,144480984,113283,144777158
50035,116772406,125744,116808845
50046,119244056,729296,119882983
50226,97069566,12804289,109795197
50265,44379906,2086653,46433721
50319,213707,0,213550
51549,84609734,90167,84720460
51560,252153928,2737717,254941583
50157,168306476,82897,168260222
52211,236363435,575871,236762167
52804,87535930,1325492,88872386
51446,90274738,0,90276300
50010,155033818,260300,155178965
50278,138821968,42230,138755228
50848,117220734,499460,117690351
50118,49691667,1774588,51426333
52359,38168572,0,38147390
52353,395015639,323079,395135685
50478,191508358,66911,191441109
50473,95399880,600633,95930882
51103,27329577,533633,27895779
51039,222604749,554562,223327188
51030,153837616,101699,154076972
50448,160124185,41612,160039460
50525,361364714,2409067,363516530
50020,248209168,919321,249060089
50837,130570445,225409,130755149
50857,131037143,228000,131240962
52146,202232153,19446316,221618174
52140,201525240,60800,201494436
52159,197123907,17395,197070273
52549,113329384,53075,113291912
52555,64699086,38011,64685723
50651,290042486,4584591,294423354
52346,134845571,0,134756975
52225,91276214,0,91210206
52206,73245916,0,73202695
50612,57581068,0,57538654
50643,162697789,410669,162985747
50212,351662798,567724,352016615
50235,120716395,417921,121067467
50134,48427675,0,48392647
50244,57130248,0,57088685
50674,405282166,3407909,408415707
50682,220939846,42764,220868358
52218,186401903,1030438,187349886
50565,113882977,121159,113987538
51033,163353526,121813,163480274
51047,199489849,589102,200101705
50602,207296305,159357,207291149
50604,184428103,92958,184373800
50660,100135575,29447,100087170
50540,274522336,1103392,275560253
51463,77535941,0,77521945
51535,337106413,20379,337122159
51532,147652406,157304,147805990
52253,119617674,1862332,121438767
52760,56930747,1969592,58889628
50482,74538658,6627465,81104231
50401,386330590,1179202,387202615
51061,121469875,158296,121679867
52050,83972685,55361,83999423
52727,63043506,38395,63107269
51441,40168897,98018,40271052
51529,333100388,853349,334077262
51019,236507950,279978,236893631
50111,71187442,297164,71435314
52330,123160697,0,123108441
52601,287154693,24870627,311970451
52640,188599646,43999,188589130
52638,88053650,467658,88498247
51334,485368079,6412989,491646735
51355,6366547,4686146,11051998
52032,272313928,258490,272566803
52039,91068312,0,91064615
52175,224708583,0,224579583
52144,194119174,0,193998057
52161,140304657,0,140227738
51640,310350585,3639361,259276626
51639,186680453,110567,186842560
50029,104965036,73324,104997222
50680,138682394,0,138571644
50480,162227230,796098,162922132
50122,218555456,65908,218450137
50628,289171765,185024,289143182
52136,552203778,240784,552073784
50541,236217558,1532105,237641976
52251,106312085,27088,106265658
52236,74129557,18621,74104814
50028,114863517,70134,114842180
52540,253576975,4104687,257537614
52567,73121919,0,73074293
52205,308696311,1249997,309851859
52362,157402805,27137,157410495
50539,139538906,0,139472947
52314,154117330,1540724,155596924
52214,244351368,3271134,247517268
52227,74705535,1308018,75979349
52202,65271185,23892,65263204
52737,607264,0,607049
50163,1230059,0,1229085
50148,51098115,0,51057257
51554,6840874,0,6843934
50455,84207513,0,84141837
51231,73029493,0,73060548
51022,204082524,0,204190576
51238,118821879,9457,118898711
51027,239811950,23769,240078730
50073,67244090,176052,67369373
50310,20861437,262109,21108288
50309,7348586,427887,7770762
50032,955390,0,954675
51536,124194420,761423,124975844
51525,156751446,1538703,158323440
50861,112876664,644174,113461357
51458,245286348,121235,245416340
52802,24767339,4527073,29299064
52756,110779391,328250,111133314
52746,68556073,251241,68815830
52342,232363570,297341,232482618
50833,532934532,3390787,536170141
50830,305947024,670811,306448318
50060,452369096,1241090,453255892
50518,80803741,0,80764888
50501,403940220,3275560,406986525
50544,75465666,0,75422632
50465,9497218,0,9490893
51054,103979705,2349320,106440743
51007,87318034,0,87396046
50440,80662384,3414,80601357
50070,170639223,431546,170978987
50048,226295338,277932,226481826
52160,103221189,480892,103663842
52594,121874560,112662,121892298
52571,248003228,28399326,276183148
52544,354995856,988963,355701066
51531,73952439,0,73948390
52249,131160363,0,131069452
52318,95080335,0,95024040
52354,76593832,0,76545860
50702,24299017,1309473,25590015
50626,130268151,624653,130803047
50667,5217793,0,5214140
50648,223049944,162774,223064864
50629,204632578,696088,205193203
52210,90408046,54596,90405264
50568,219912855,158438,220040035
51005,244144831,25429,244211832
50601,367829271,182849,367718177
50433,125889253,0,125788641
50575,163446600,0,163394260
51430,105486875,44158,105519510
51467,168862484,113009,168967657
52772,339596319,2731777,342255921
52747,56082804,11347,56091097
50428,306745321,9634833,316135046
50457,88503707,0,88436467
51049,113047876,50072,113138756
51037,61667480,0,61688980
51046,240751766,166273,241008307
50658,184273746,2823857,186954661
50275,131849713,0,131752233
50515,95985264,91529,96054911
51301,404708301,2234108,406922293
51357,108592195,0,108597501
52044,31383574,0,31373002
52042,161442828,20364,161405111
52052,230273665,18726685,248946511
52158,2809122,548463,3356704
52069,132636290,641384,133319148
52064,106639281,901301,107585327
51520,48585455,0,48596332
51527,101087935,21989,101123708
51454,259200047,113184,259320002
50109,56668494,6088741,62713948
50277,104453458,170820,104573004
50261,171581878,1660853,173129420
52552,150432424,1450714,151767399
52570,177255523,381961,177517968
50144,361463599,1141463,362350249
52057,361760049,590030,362204245
52223,125813447,1806360,127577449
52237,210347931,114007,210401586
52310,384963817,219776,385085814
52001,67709949,7347814,75063983
52079,153776141,0,153787306
51365,52560020,5880937,58422754
50655,90963065,88615,90996997
50653,133981606,767138,134641304
50441,395173317,489337,395349817
51645,107043333,0,107068409
51649,105693737,640749,106369079
50129,434205215,1453435,435449701
50609,89198169,20429,89147788
50132,74609258,0,74555552
50075,119361655,7736,119280185
50231,1065168,0,1064379
51557,180194271,897572,177049667
51545,113915286,2206866,116209700
51556,114386041,3108554,117584990
52647,911591,0,911198
50520,61318438,754489,62043170
50582,53208823,363628,53544539
51445,327461286,411756,327943614
51016,262372029,523403,263029605
52316,180146786,147075,180175524
50168,104677767,95694,104691036
50112,475237392,434761,475298581
52404,142043563,889927,142860444
52231,84639740,95411,84680385
52561,90093309,79519,90105495
50559,102790935,0,102738214
52627,176642169,11772493,188354372
52632,131951222,8518800,140418174
52401,3071004,393501,3462788
52754,184729827,1275885,185956469
52739,84960780,4250255,89180544
50151,205300543,263300,205408334
50068,114687763,61870,114662309
51237,249747863,12058,249923875
51241,232758318,9568,233030806
50218,542828,0,542466
52553,216320658,2103436,218254140
52543,53378306,19751,53357483
50162,132095121,25577,132015158
50051,66182743,390346,66520073
51551,209838981,957138,210873730
51503,307521189,3790189,311477956
51533,213611876,29760,213681361
51063,159921593,2136845,162203366
51056,88612403,319810,88991099
50150,147921893,614785,148418029
50847,836560,26548,863004
51636,144434643,0,144445791
51656,438077,0,438084
50527,141597255,0,141557901
51109,46990825,2168732,49218797
50593,480019,0,479919
50124,54098688,0,54058762
50313,46753201,882092,47600338
50023,57348146,75990,57382093
50315,25951327,609004,26540828
50311,6511832,0,6507130
50324,3740280,0,3737613
50316,9215176,87305,9295617
51510,4841212,387357,5232064
51575,126543884,25774,126616678
51548,64393248,0,64418970
51553,118479391,107957,118624681
50242,106817265,137228,106870681
50860,114501829,634749,115080932
50854,348732719,2208507,350751781
52806,79448284,0,79461317
52801,939343,420565,1360189
52745,73906469,475142,74385666
50012,1972687,9935,1981176
52348,2376982,0,2375231
50254,113421039,232611,113585410
52620,137753252,1644039,139321268
52565,300828566,6809169,307452378
52501,584395540,6902331,590859000
50125,423849028,2672916,426205729
50557,129034762,1116719,130070971
50566,89844358,21164,89820103
51106,80695546,1007236,81787340
50456,120416382,14091,120335131
50858,206774627,220623,206901572
50851,333878001,1336397,335084979
52156,110195420,0,110149797
52101,804344852,277310,804177984
52590,194009522,516550,194371151
50022,431487278,396033,431835633
52349,379632680,3039464,382429827
50703,242656830,2067185,244549476
50669,239739631,10422,239564539
50036,502476772,2586719,504722352
50645,213772471,473555,214085341
50666,139333332,922703,140149531
50641,122810408,209379,122945196
50662,175813071,236446,175941778
51366,163533985,360554,163871628
50586,91099208,22112,91079568
50551,69704315,0,69684103
51451,951902,3547,955143
52778,215809810,162565,215948428
52721,108698097,0,108688123
52255,112408307,0,112397619
51014,139616307,30645,139704175
51358,189121681,13832676,202911261
51364,167034887,0,167005751
52076,252900986,0,252791457
52048,85789255,0,85763596
52742,303606179,536597,304219547
52751,128873436,212180,129100022
51461,130099954,96174,130226586
51034,290256763,619521,291023877
50039,60629106,32941,60623937
50266,42782812,278023,43031116
50066,64261113,471078,64696940
52584,58385858,165373,58510147
50140,239713197,1964936,241526014
50147,187377446,114299,187351870
52644,111080445,0,111040149
52003,146018984,5935120,151969365
52033,252635822,0,252602703
52045,123925080,0,123913656
52031,434689857,13380220,448185315
50578,192245774,85671,192252100
52142,188687600,644278,189225922
50664,95350,0,95287
50420,117256906,0,117167234
50633,102851181,227351,102996389
50041,1101427,0,1100559
50130,170595167,1337885,171808566
50246,120139148,14079,120069435
50599,132976009,81058,132965343
50423,374229159,2135683,376104464
50439,84616343,89976,84644181
50154,53144166,0,53103038
51565,126093483,34627,126164060
52654,135506241,559501,135998770
50577,106941323,0,106872569
52347,166647034,0,166528308
52355,95190631,19139,95144547
50208,425424684,621979,425706318
50153,80343018,29176,80308460
50237,143182465,2820344,145889523
52580,98696227,69238,98700752
52563,299042502,108928,298939001
52340,42919615,20868,42918791
52240,414515848,1055470,415398700
52246,23555236,276773,23821263
52242,1874659,121019,1994804
52335,144626544,85893,144618511
50590,203960351,20388,203873715
52626,243657718,3779546,175059044
52219,1194124,0,1193664
52336,127231477,22255,127204141
52328,7989464,0,7985465
52752,984227,0,983997
51201,295733762,83830,295975973
51239,171486564,27377,171652485
52577,411815079,3957417,415448754
52534,1012395,0,1011603
50138,442220413,19606875,461459184
51573,156082408,69715,156146693
51350,112104258,0,112137312
51647,49689882,0,49697255
50562,165098566,0,165039377
51024,232644349,84098,232953731
50021,66701596,24328,66676219
50007,13782897,0,13772723
50171,279932013,1743671,281461436
50863,77735238,443429,78134796
50535,157943720,548655,158488921
51466,133431076,1117550,134540746
52768,83537465,5943919,89513717
52758,1608926,136965,1746443
51447,90268943,0,90270896
51234,129270904,3603,129362662
51250,186171025,227938,186563603
51244,778428,0,778893
50105,20560447,0,20545406
51646,162217900,686028,162874214
52573,73619608,1010778,64817737
52548,588295,34434,622254
50165,6437634,0,6432573
50523,109190936,0,109134214
50521,3160848,0,3158962
51101,3050811,87953,3142254
51111,17306992,686395,18013380
